sid,sim,eid
1805,0.06189964711666107,1968
1805,0.05682630091905594,1368
1805,0.05261246860027313,1524
1806,0.15764662623405457,211
1806,0.12840165197849274,1700
1806,0.10172577202320099,419
1806,0.07737378776073456,1797
1806,0.07037563621997833,961
1807,0.07361795753240585,687
1807,0.07244499027729034,1034
1807,0.07209666073322296,1990
1807,0.06749935448169708,2060
1807,0.05767097696661949,1413
1808,0.45415616035461426,298
1808,0.4442331790924072,664
1808,0.4364466667175293,889
1808,0.2007809579372406,2142
1808,0.19513624906539917,1213
1809,0.11375094950199127,1142
1809,0.09655188024044037,1863
1809,0.07937540858983994,1606
1809,0.07794257253408432,1490
1809,0.07777122408151627,21
1810,0.22156165540218353,1060
1810,0.15937075018882751,1301
1810,0.15361271798610687,680
1810,0.14661702513694763,1939
1810,0.13267789781093597,1243
1811,0.08606819808483124,985
1811,0.0789499431848526,613
1811,0.07644449919462204,1430
1811,0.07185596227645874,826
1811,0.06530782580375671,959
1812,0.08350416272878647,299
1812,0.07474760711193085,371
1812,0.06985887885093689,821
1812,0.06888137012720108,1721
1812,0.06710267066955566,1063
1813,0.09500318765640259,360
1813,0.09177383780479431,1578
1813,0.08756537735462189,1721
1813,0.07628870010375977,1212
1813,0.07433620095252991,441
1814,0.0899045467376709,1017
1814,0.06483006477355957,1168
1814,0.058591678738594055,1259
1814,0.05239638686180115,70
1814,0.05011756718158722,781
1815,0.17551079392433167,956
1815,0.07090765237808228,68
1815,0.05706869065761566,481
1815,0.04641256481409073,1297
1815,0.04337117075920105,1282
1816,0.16047438979148865,1276
1816,0.11950173228979111,1747
1816,0.10114588588476181,1464
1816,0.09242907166481018,1907
1816,0.08811572194099426,362
1817,0.21723675727844238,157
1817,0.216152161359787,1469
1817,0.1871875524520874,152
1817,0.18554401397705078,863
1817,0.17448094487190247,1731
1818,0.16117912530899048,1787
1818,0.15955761075019836,765
1818,0.11489931493997574,926
1818,0.1022915318608284,1610
1818,0.0921468436717987,1688
1819,0.0862835943698883,724
1819,0.0859670415520668,698
1819,0.07506092637777328,1833
1819,0.07487442344427109,859
1819,0.07390320301055908,1599
1820,0.13835440576076508,1904
1820,0.10294339060783386,1610
1820,0.09942884743213654,2101
1820,0.0981096625328064,1461
1820,0.09391704946756363,1994
1821,0.12316236644983292,518
1821,0.09339427202939987,1566
1821,0.08776697516441345,1514
1821,0.08445329964160919,1395
1821,0.0633065402507782,1632
1822,0.10327034443616867,829
1822,0.06001006439328194,1995
1822,0.05934004858136177,1600
1822,0.054162923246622086,1228
1822,0.052454911172389984,1384
1823,0.2670365869998932,853
1823,0.1840611696243286,723
1823,0.1375407576560974,77
1823,0.12733158469200134,1282
1823,0.11941061168909073,757
1824,0.09953911602497101,357
1824,0.09742178022861481,1039
1824,0.09331808984279633,176
1824,0.07493188977241516,915
1824,0.06306939572095871,617
1825,0.09060381352901459,536
1825,0.07143965363502502,635
1825,0.06659287214279175,826
1825,0.06429706513881683,1390
1825,0.05992873013019562,423
1826,0.34501591324806213,1594
1826,0.2862297594547272,661
1826,0.20153820514678955,1796
1826,0.11882935464382172,1683
1826,0.10838142037391663,99
1827,0.2714650332927704,244
1827,0.21206922829151154,591
1827,0.20716607570648193,689
1827,0.14614255726337433,336
1827,0.12707433104515076,2067
1828,0.08785977959632874,480
1828,0.06924205273389816,1569
1828,0.06579849123954773,821
1828,0.06361149251461029,1702
1828,0.06189131364226341,419
1829,0.11812641471624374,176
1829,0.10693889856338501,1097
1829,0.09117220342159271,804
1829,0.08534879982471466,1752
1829,0.08524195104837418,1570
1830,0.14430634677410126,696
1830,0.11330199241638184,1940
1830,0.1087954193353653,2148
1830,0.09963715076446533,1801
1830,0.09853281080722809,1139
1831,0.10411033779382706,1934
1831,0.07883740961551666,412
1831,0.0768580511212349,1925
1831,0.07284948974847794,733
1831,0.07282783091068268,1406
1832,0.09123857319355011,1989
1832,0.07477545738220215,1100
1832,0.07320532202720642,1606
1832,0.0692165270447731,292
1832,0.06617926061153412,251
1833,0.15531602501869202,1586
1833,0.10255967080593109,1819
1833,0.10194892436265945,1981
1833,0.1013198047876358,2034
1833,0.08053469657897949,1984
1834,0.15544256567955017,1838
1834,0.14121273159980774,649
1834,0.10280159115791321,1929
1834,0.09712641686201096,172
1834,0.09110303968191147,1537
1835,0.058400772511959076,1968
1835,0.0497770830988884,1186
1835,0.049307990819215775,134
1835,0.04116318002343178,9
1835,0.03864993155002594,939
1836,0.1374102532863617,1317
1836,0.12280488014221191,969
1836,0.08365440368652344,2024
1836,0.08357913047075272,2056
1836,0.0807855948805809,486
1837,0.10924419015645981,1852
1837,0.09010659903287888,785
1837,0.06921017169952393,507
1837,0.06601254642009735,380
1837,0.0656299814581871,762
1838,0.23088020086288452,649
1838,0.19372349977493286,433
1838,0.18473723530769348,1431
1838,0.17391176521778107,475
1838,0.15605904161930084,172
1839,0.11443711817264557,2005
1839,0.10302359610795975,939
1839,0.08897200971841812,1238
1839,0.07355553656816483,1671
1839,0.07163876295089722,982
1840,0.09768109023571014,192
1840,0.08534912765026093,1075
1840,0.0771276131272316,1388
1840,0.07564865052700043,750
1840,0.0741579458117485,270
1841,0.12705020606517792,837
1841,0.11302527785301208,1758
1841,0.10477793961763382,125
1841,0.08747561275959015,1550
1841,0.08744234591722488,1657
1842,0.14377568662166595,2130
1842,0.12921105325222015,574
1842,0.12189574539661407,1172
1842,0.08244159817695618,660
1842,0.08077364414930344,928
1843,0.11821118742227554,419
1843,0.0840674489736557,2000
1843,0.07195308804512024,350
1843,0.06714074313640594,651
1843,0.06584515422582626,1054
1844,0.3020176291465759,596
1844,0.09024959057569504,837
1844,0.08380961418151855,376
1844,0.07598802447319031,794
1844,0.0701921358704567,700
1845,0.15414060652256012,721
1845,0.14515052735805511,2077
1845,0.09389422833919525,190
1845,0.08117851614952087,676
1845,0.07464878261089325,1648
1846,0.1025889441370964,1189
1846,0.0738765150308609,2127
1846,0.0591762512922287,1048
1846,0.05825085565447807,1141
1846,0.0571913868188858,888
1847,0.16402974724769592,1665
1847,0.10464544594287872,1136
1847,0.09864076972007751,176
1847,0.07929056882858276,332
1847,0.07175611704587936,1088
1848,0.3835911154747009,1675
1848,0.31599804759025574,925
1848,0.28974369168281555,666
1848,0.2828717529773712,782
1848,0.228415846824646,1197
1849,0.0969536304473877,1764
1849,0.0928659662604332,1675
1849,0.0726112499833107,1212
1849,0.06050015240907669,1475
1849,0.060395002365112305,864
1850,0.0922907367348671,294
1850,0.08991049975156784,1433
1850,0.08370794355869293,518
1850,0.0808618813753128,1057
1850,0.07852192968130112,688
1851,0.9857774972915649,603
1851,0.07105691730976105,1144
1851,0.057101935148239136,369
1851,0.05615631118416786,1043
1851,0.05015328526496887,248
1852,0.19413910806179047,785
1852,0.1346939504146576,18
1852,0.13176122307777405,1612
1852,0.12942521274089813,15
1852,0.11864666640758514,323
1853,0.0790603831410408,952
1853,0.06328718364238739,885
1853,0.06322772800922394,864
1853,0.061050448566675186,162
1853,0.05781898647546768,1121
1854,0.159854918718338,1013
1854,0.13231775164604187,1529
1854,0.1228204146027565,1713
1854,0.1138022243976593,122
1854,0.10401690006256104,71
1855,0.08139807730913162,521
1855,0.07969970256090164,626
1855,0.07904426753520966,950
1855,0.07826484739780426,1885
1855,0.06216434761881828,1099
1856,0.38796141743659973,1158
1856,0.1198432520031929,136
1856,0.11337634921073914,1662
1856,0.10945974290370941,1400
1856,0.09065243601799011,1986
1857,0.12223514169454575,393
1857,0.11958608031272888,141
1857,0.09685153514146805,1058
1857,0.08859748393297195,546
1857,0.08415624499320984,122
1858,0.10175838321447372,601
1858,0.09169940650463104,254
1858,0.09028563648462296,1401
1858,0.08418452739715576,706
1858,0.08040810376405716,956
1859,0.10868684947490692,411
